Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
agc,agc-Latn-NG,Agatu,NG,,,,,,,,WAF,agc,,,
agd,agd-Latn-PG,Agarabi,PG,,,02931,,,,,MEL,agd,LE,10-Jan-2018,
age,age-Latn-PG,Angal,PG,,,03264 04008 04009,,,,,MEL,age,LE,10-Jan-2018,
agf,agf-Latn-ID,Arguni,ID,,,01734,,1,,,SEA,agf,,,
agg,agg-Latn-PG,Angor,PG,,,01242,,,,,MEL,agg,LE,10-Jan-2018,
agh,agh-Latn-CD,Ngelima,CD,,,01423,,1,,,MAF,agh,,,
agi,agi-Deva-IN,Agariya,IN,,,03837,,,,,SAS,agi,,,
agj,agj-Ethi-ET,Argobba,ET,,,,,,,,EAF,agj,LE,3-Jan-2018,in development
agj-Arab,agj-Arab-ET,Argobba,ET,,,,,,,,EAF,agj,,,
agk,agk-Latn-PH,"Agta, Isarog",PH,,,,,1,,,SEA,agk,,,
agl,agl-Latn-PG,Fembe,PG,,,,,1,,,MEL,agl,LE,10-Jan-2018,
agm,agm-Latn-PG,Angaataha,PG,,,,,,,,MEL,agm,LE,10-Jan-2018,
agn,agn-Latn-PH,Agutaynen,PH,,,,,,,,SEA,agn,,,
ago,ago-Latn-PG,Tainae,PG,,,,,,,,MEL,ago,LE,10-Jan-2018,
agp,agp-Latn-PH,Paranan,PH,,,,prf,,,prf,SEA,prf,,,
agq,agq-Latn-CM,Aghem,CM,,,,,,,,MAF,agq,CLDR,,
agr,agr-Latn-PE,Awajún,PE,,,,,,,,SAM,agr,LE,9-Jan-2018,
ags,ags-Latn-CM,Esimbi,CM NG,,,,,,,,MAF WAF,ags,LE,12-Jan-2018,
agt,agt-Latn-PH,"Agta, Central Cagayan",PH,,,,,,,,SEA,agt,,,
agu,agu-Latn-GT,Awakateko,GT,,,,,,,,CAM,agu,LE,9-Jan-2018,
agv,agv-Latn-PH,"Dumagat, Remontado",PH,,,,,1,,,SEA,agv,,,
agw,agw-Latn-SB,Kahua,SB,,,03624 03661 03666,,,,,MEL,agw,LE,10-Jan-2018,
agx,agx-Cyrl-RU,Aghul,RU,,,,,,,,EEU,agx,,,
agy,agy-Latn-PH,"Alta, Southern",PH,,,,,,1,,SEA,agy,,,
agz,agz-Latn-PH,"Agta, Mt. Iriga",PH,,,,,1,,,SEA,agz,,,
aha,aha-Latn-GH,Ahanta,GH,,,,,,,,WAF,aha,LE,12-Jan-2018,
ahb,ahb-Latn-VU,Axamb,VU,,,,,,,,MEL,ahb,LE,10-Jan-2018,
ahg,ahg-Ethi-ET,Qimant,ET,,,06725,,,1,,EAF,ahg,,,
ahh,ahh-Latn-ID,Aghu,ID,,,,,1,,,SEA,ahh,,,
ahi,ahi-Latn-CI,"Aizi, Tiagbamrin",CI,,,,,1,,,WAF,ahi,,,
ahk,ahk-Latn-MM,Akha,CN LA MM TH VN,,,,,,,,EAS SEA,ahk,MH,,See (p.5) mentions 10 orthographies! (NMC) https://www.researchgate.net/publication/303365969_The_current_status_of_Akha
ahk-Latn-x-louma,ahk-Latn-LA-x-louma,Louma,CN LA MM TH VN,,,,,1,,,SEA,ahk,NMC,,"Needs to be it's own iso code, currently lumpped under Akha"
ahk-Mymr,ahk-Mymr-MM,Akha,CN LA MM TH VN,,,,,,,,EAS SEA,ahk,MH,,
ahk-TH,ahk-Latn-TH,Akha,CN LA MM TH VN,,,03127,,,,,EAS SEA,ahk,MH,,
ahk-Thai,ahk-Thai-TH,Akha,CN LA MM TH VN,,,03127,,,,,EAS SEA,ahk,MH,,
ahl,ahl-Latn-TG,Igo,TG,,,,,,,,WAF,ahl,,,
